epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.2121,3.39262,0.1,0.36154,3.14786,0.000110146,0.000110146,0.000110146
2,23.9314,3.20437,0.25385,0.63077,2.52401,0.000216767,0.000216767,0.000216767
3,33.2378,2.83283,0.56154,0.94423,1.52034,0.000318993,0.000318993,0.000318993
4,42.4681,2.30885,0.82308,1,0.60267,0.00031322,0.00031322,0.00031322
5,51.4679,1.84063,0.99423,1,0.21599,0.000306626,0.000306626,0.000306626
6,60.6452,1.49273,0.89231,1,0.23603,0.000300033,0.000300033,0.000300033
7,69.6916,1.28092,0.93846,1,0.16232,0.00029344,0.00029344,0.00029344
8,78.9236,1.21461,0.96154,1,0.1372,0.000286846,0.000286846,0.000286846
9,88.1126,1.07211,0.92115,1,0.16407,0.000280253,0.000280253,0.000280253
10,97.5237,1.04125,0.98654,1,0.14577,0.000273659,0.000273659,0.000273659
11,106.777,0.96498,0.99423,1,0.12788,0.000267066,0.000267066,0.000267066
12,115.965,0.91603,1,1,0.10712,0.000260473,0.000260473,0.000260473
13,125.193,0.9214,1,1,0.10915,0.000253879,0.000253879,0.000253879
14,134.635,0.86802,1,1,0.10342,0.000247286,0.000247286,0.000247286
15,144.037,0.88745,1,1,0.07166,0.000240692,0.000240692,0.000240692
16,153.513,0.83539,1,1,0.05935,0.000234099,0.000234099,0.000234099
17,162.896,0.83109,1,1,0.05617,0.000227506,0.000227506,0.000227506
18,172.573,0.86347,0.95,1,0.09576,0.000220912,0.000220912,0.000220912
19,182.879,0.81819,0.97308,1,0.08015,0.000214319,0.000214319,0.000214319
20,192.61,0.81963,1,1,0.04998,0.000207725,0.000207725,0.000207725
21,202.792,0.81411,1,1,0.0475,0.000201132,0.000201132,0.000201132
22,211.923,0.76608,1,1,0.03875,0.000194539,0.000194539,0.000194539
23,220.495,0.72088,1,1,0.04358,0.000187945,0.000187945,0.000187945
24,229.061,0.78003,1,1,0.03961,0.000181352,0.000181352,0.000181352
25,237.594,0.704,1,1,0.03316,0.000174758,0.000174758,0.000174758
26,245.896,0.71106,1,1,0.02942,0.000168165,0.000168165,0.000168165
27,254.675,0.71795,1,1,0.03131,0.000161572,0.000161572,0.000161572
28,263.522,0.67316,1,1,0.0213,0.000154978,0.000154978,0.000154978
29,273.112,0.7325,1,1,0.0357,0.000148385,0.000148385,0.000148385
30,282.01,0.6871,1,1,0.02554,0.000141791,0.000141791,0.000141791
31,291.342,0.65365,1,1,0.02529,0.000135198,0.000135198,0.000135198
32,300.679,0.70876,1,1,0.0352,0.000128605,0.000128605,0.000128605
33,309.608,0.73385,1,1,0.02888,0.000122011,0.000122011,0.000122011
34,318.544,0.68283,1,1,0.02728,0.000115418,0.000115418,0.000115418
35,327.057,0.72744,1,1,0.02576,0.000108824,0.000108824,0.000108824
36,335.829,0.71712,1,1,0.01833,0.000102231,0.000102231,0.000102231
37,345.712,0.68082,1,1,0.02364,9.56376e-05,9.56376e-05,9.56376e-05
38,355.047,0.64848,1,1,0.02553,8.90442e-05,8.90442e-05,8.90442e-05
39,364.349,0.66203,1,1,0.02109,8.24508e-05,8.24508e-05,8.24508e-05
40,373.973,0.64358,1,1,0.02307,7.58574e-05,7.58574e-05,7.58574e-05
41,449.964,0.71027,1,1,0.02917,6.9264e-05,6.9264e-05,6.9264e-05
42,460.358,0.66841,1,1,0.02112,6.26706e-05,6.26706e-05,6.26706e-05
43,470.569,0.63237,1,1,0.01951,5.60772e-05,5.60772e-05,5.60772e-05
44,480.608,0.70115,1,1,0.01678,4.94838e-05,4.94838e-05,4.94838e-05
45,490.915,0.71583,1,1,0.02064,4.28904e-05,4.28904e-05,4.28904e-05
46,501.445,0.67746,1,1,0.01611,3.6297e-05,3.6297e-05,3.6297e-05
47,511.782,0.6994,1,1,0.01713,2.97036e-05,2.97036e-05,2.97036e-05
48,522.166,0.67856,1,1,0.01715,2.31102e-05,2.31102e-05,2.31102e-05
49,532.39,0.66791,1,1,0.01739,1.65168e-05,1.65168e-05,1.65168e-05
50,542.735,0.66869,1,1,0.01618,9.9234e-06,9.9234e-06,9.9234e-06
